PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
606,Third,male,36,1,0,15.55,,S,No
607,Third,male,30,0,0,7.8958,,S,No
608,First,male,27,0,0,30.5,,S,Yes
609,Second,female,22,1,2,41.5792,,C,Yes
610,First,female,40,0,0,153.4625,C125,S,Yes
611,Third,female,39,1,5,31.275,,S,No
612,Third,male,,0,0,7.05,,S,No
613,Third,female,,1,0,15.5,,Q,Yes
614,Third,male,,0,0,7.75,,Q,No
615,Third,male,35,0,0,8.05,,S,No
616,Second,female,24,1,2,65,,S,Yes
617,Third,male,34,1,1,14.4,,S,No
618,Third,female,26,1,0,16.1,,S,No
619,Second,female,4,2,1,39,F4,S,Yes
620,Second,male,26,0,0,10.5,,S,No
621,Third,male,27,1,0,14.4542,,C,No
622,First,male,42,1,0,52.5542,D19,S,Yes
623,Third,male,20,1,1,15.7417,,C,Yes
624,Third,male,21,0,0,7.8542,,S,No
625,Third,male,21,0,0,16.1,,S,No
626,First,male,61,0,0,32.3208,D50,S,No
627,Second,male,57,0,0,12.35,,Q,No
628,First,female,21,0,0,77.9583,D9,S,Yes
629,Third,male,26,0,0,7.8958,,S,No
630,Third,male,,0,0,7.7333,,Q,No
631,First,male,80,0,0,30,A23,S,Yes
632,Third,male,51,0,0,7.0542,,S,No
633,First,male,32,0,0,30.5,B50,C,Yes
634,First,male,,0,0,0,,S,No
635,Third,female,9,3,2,27.9,,S,No
636,Second,female,28,0,0,13,,S,Yes
637,Third,male,32,0,0,7.925,,S,No
638,Second,male,31,1,1,26.25,,S,No
639,Third,female,41,0,5,39.6875,,S,No
640,Third,male,,1,0,16.1,,S,No
641,Third,male,20,0,0,7.8542,,S,No
642,First,female,24,0,0,69.3,B35,C,Yes
643,Third,female,2,3,2,27.9,,S,No
644,Third,male,,0,0,56.4958,,S,Yes
645,Third,female,0.75,2,1,19.2583,,C,Yes
646,First,male,48,1,0,76.7292,D33,C,Yes
647,Third,male,19,0,0,7.8958,,S,No
648,First,male,56,0,0,35.5,A26,C,Yes
649,Third,male,,0,0,7.55,,S,No
650,Third,female,23,0,0,7.55,,S,Yes
651,Third,male,,0,0,7.8958,,S,No
652,Second,female,18,0,1,23,,S,Yes
653,Third,male,21,0,0,8.4333,,S,No
654,Third,female,,0,0,7.8292,,Q,Yes
655,Third,female,18,0,0,6.75,,Q,No
656,Second,male,24,2,0,73.5,,S,No
657,Third,male,,0,0,7.8958,,S,No
658,Third,female,32,1,1,15.5,,Q,No
659,Second,male,23,0,0,13,,S,No
660,First,male,58,0,2,113.275,D48,C,No
661,First,male,50,2,0,133.65,,S,Yes
662,Third,male,40,0,0,7.225,,C,No
663,First,male,47,0,0,25.5875,E58,S,No
664,Third,male,36,0,0,7.4958,,S,No
665,Third,male,20,1,0,7.925,,S,Yes
666,Second,male,32,2,0,73.5,,S,No
667,Second,male,25,0,0,13,,S,No
668,Third,male,,0,0,7.775,,S,No
669,Third,male,43,0,0,8.05,,S,No
670,First,female,,1,0,52,C126,S,Yes
671,Second,female,40,1,1,39,,S,Yes
672,First,male,31,1,0,52,B71,S,No
673,Second,male,70,0,0,10.5,,S,No
674,Second,male,31,0,0,13,,S,Yes
675,Second,male,,0,0,0,,S,No
676,Third,male,18,0,0,7.775,,S,No
677,Third,male,24.5,0,0,8.05,,S,No
678,Third,female,18,0,0,9.8417,,S,Yes
679,Third,female,43,1,6,46.9,,S,No
680,First,male,36,0,1,512.3292,B51 B53 B55,C,Yes
681,Third,female,,0,0,8.1375,,Q,No
682,First,male,27,0,0,76.7292,D49,C,Yes
683,Third,male,20,0,0,9.225,,S,No
684,Third,male,14,5,2,46.9,,S,No
685,Second,male,60,1,1,39,,S,No
686,Second,male,25,1,2,41.5792,,C,No
687,Third,male,14,4,1,39.6875,,S,No
688,Third,male,19,0,0,10.1708,,S,No
689,Third,male,18,0,0,7.7958,,S,No
690,First,female,15,0,1,211.3375,B5,S,Yes
691,First,male,31,1,0,57,B20,S,Yes
692,Third,female,4,0,1,13.4167,,C,Yes
693,Third,male,,0,0,56.4958,,S,Yes
694,Third,male,25,0,0,7.225,,C,No
695,First,male,60,0,0,26.55,,S,No
696,Second,male,52,0,0,13.5,,S,No
697,Third,male,44,0,0,8.05,,S,No
698,Third,female,,0,0,7.7333,,Q,Yes
699,First,male,49,1,1,110.8833,C68,C,No
700,Third,male,42,0,0,7.65,F G63,S,No
701,First,female,18,1,0,227.525,C62 C64,C,Yes
702,First,male,35,0,0,26.2875,E24,S,Yes
703,Third,female,18,0,1,14.4542,,C,No
704,Third,male,25,0,0,7.7417,,Q,No
705,Third,male,26,1,0,7.8542,,S,No
706,Second,male,39,0,0,26,,S,No
707,Second,female,45,0,0,13.5,,S,Yes
708,First,male,42,0,0,26.2875,E24,S,Yes
709,First,female,22,0,0,151.55,,S,Yes
710,Third,male,,1,1,15.2458,,C,Yes
711,First,female,24,0,0,49.5042,C90,C,Yes
712,First,male,,0,0,26.55,C124,S,No
713,First,male,48,1,0,52,C126,S,Yes
714,Third,male,29,0,0,9.4833,,S,No
715,Second,male,52,0,0,13,,S,No
716,Third,male,19,0,0,7.65,F G73,S,No
717,First,female,38,0,0,227.525,C45,C,Yes
718,Second,female,27,0,0,10.5,E101,S,Yes
719,Third,male,,0,0,15.5,,Q,No
720,Third,male,33,0,0,7.775,,S,No
721,Second,female,6,0,1,33,,S,Yes
722,Third,male,17,1,0,7.0542,,S,No
723,Second,male,34,0,0,13,,S,No
724,Second,male,50,0,0,13,,S,No
725,First,male,27,1,0,53.1,E8,S,Yes
726,Third,male,20,0,0,8.6625,,S,No
727,Second,female,30,3,0,21,,S,Yes
728,Third,female,,0,0,7.7375,,Q,Yes
729,Second,male,25,1,0,26,,S,No
730,Third,female,25,1,0,7.925,,S,No
731,First,female,29,0,0,211.3375,B5,S,Yes
732,Third,male,11,0,0,18.7875,,C,No
733,Second,male,,0,0,0,,S,No
734,Second,male,23,0,0,13,,S,No
735,Second,male,23,0,0,13,,S,No
736,Third,male,28.5,0,0,16.1,,S,No
737,Third,female,48,1,3,34.375,,S,No
738,First,male,35,0,0,512.3292,B101,C,Yes
739,Third,male,,0,0,7.8958,,S,No
740,Third,male,,0,0,7.8958,,S,No
741,First,male,,0,0,30,D45,S,Yes
742,First,male,36,1,0,78.85,C46,S,No
743,First,female,21,2,2,262.375,B57 B59 B63 B66,C,Yes
744,Third,male,24,1,0,16.1,,S,No
745,Third,male,31,0,0,7.925,,S,Yes
746,First,male,70,1,1,71,B22,S,No
747,Third,male,16,1,1,20.25,,S,No
748,Second,female,30,0,0,13,,S,Yes
749,First,male,19,1,0,53.1,D30,S,No
750,Third,male,31,0,0,7.75,,Q,No
751,Second,female,4,1,1,23,,S,Yes
752,Third,male,6,0,1,12.475,E121,S,Yes
753,Third,male,33,0,0,9.5,,S,No
754,Third,male,23,0,0,7.8958,,S,No
755,Second,female,48,1,2,65,,S,Yes
756,Second,male,0.67,1,1,14.5,,S,Yes
757,Third,male,28,0,0,7.7958,,S,No
758,Second,male,18,0,0,11.5,,S,No
759,Third,male,34,0,0,8.05,,S,No
760,First,female,33,0,0,86.5,B77,S,Yes
761,Third,male,,0,0,14.5,,S,No
762,Third,male,41,0,0,7.125,,S,No
763,Third,male,20,0,0,7.2292,,C,Yes
764,First,female,36,1,2,120,B96 B98,S,Yes
765,Third,male,16,0,0,7.775,,S,No
766,First,female,51,1,0,77.9583,D11,S,Yes
767,First,male,,0,0,39.6,,C,No
768,Third,female,30.5,0,0,7.75,,Q,No
769,Third,male,,1,0,24.15,,Q,No
770,Third,male,32,0,0,8.3625,,S,No
771,Third,male,24,0,0,9.5,,S,No
772,Third,male,48,0,0,7.8542,,S,No
773,Second,female,57,0,0,10.5,E77,S,No
774,Third,male,,0,0,7.225,,C,No
775,Second,female,54,1,3,23,,S,Yes
776,Third,male,18,0,0,7.75,,S,No
777,Third,male,,0,0,7.75,F38,Q,No
778,Third,female,5,0,0,12.475,,S,Yes
779,Third,male,,0,0,7.7375,,Q,No
780,First,female,43,0,1,211.3375,B3,S,Yes
781,Third,female,13,0,0,7.2292,,C,Yes
782,First,female,17,1,0,57,B20,S,Yes
783,First,male,29,0,0,30,D6,S,No
784,Third,male,,1,2,23.45,,S,No
785,Third,male,25,0,0,7.05,,S,No
786,Third,male,25,0,0,7.25,,S,No
787,Third,female,18,0,0,7.4958,,S,Yes
788,Third,male,8,4,1,29.125,,Q,No
789,Third,male,1,1,2,20.575,,S,Yes
790,First,male,46,0,0,79.2,B82 B84,C,No
791,Third,male,,0,0,7.75,,Q,No
792,Second,male,16,0,0,26,,S,No
793,Third,female,,8,2,69.55,,S,No
794,First,male,,0,0,30.6958,,C,No
795,Third,male,25,0,0,7.8958,,S,No
796,Second,male,39,0,0,13,,S,No
797,First,female,49,0,0,25.9292,D17,S,Yes
798,Third,female,31,0,0,8.6833,,S,Yes
799,Third,male,30,0,0,7.2292,,C,No
800,Third,female,30,1,1,24.15,,S,No
801,Second,male,34,0,0,13,,S,No
802,Second,female,31,1,1,26.25,,S,Yes
803,First,male,11,1,2,120,B96 B98,S,Yes
804,Third,male,0.42,0,1,8.5167,,C,Yes
805,Third,male,27,0,0,6.975,,S,Yes
806,Third,male,31,0,0,7.775,,S,No
807,First,male,39,0,0,0,A36,S,No
808,Third,female,18,0,0,7.775,,S,No
809,Second,male,39,0,0,13,,S,No
810,First,female,33,1,0,53.1,E8,S,Yes
811,Third,male,26,0,0,7.8875,,S,No
812,Third,male,39,0,0,24.15,,S,No
813,Second,male,35,0,0,10.5,,S,No
814,Third,female,6,4,2,31.275,,S,No
815,Third,male,30.5,0,0,8.05,,S,No
816,First,male,,0,0,0,B102,S,No
817,Third,female,23,0,0,7.925,,S,No
818,Second,male,31,1,1,37.0042,,C,No
819,Third,male,43,0,0,6.45,,S,No
820,Third,male,10,3,2,27.9,,S,No
821,First,female,52,1,1,93.5,B69,S,Yes
822,Third,male,27,0,0,8.6625,,S,Yes
823,First,male,38,0,0,0,,S,No
824,Third,female,27,0,1,12.475,E121,S,Yes
825,Third,male,2,4,1,39.6875,,S,No
826,Third,male,,0,0,6.95,,Q,No
827,Third,male,,0,0,56.4958,,S,No
828,Second,male,1,0,2,37.0042,,C,Yes
829,Third,male,,0,0,7.75,,Q,Yes
830,First,female,62,0,0,80,B28,,Yes
831,Third,female,15,1,0,14.4542,,C,Yes
832,Second,male,0.83,1,1,18.75,,S,Yes
833,Third,male,,0,0,7.2292,,C,No
834,Third,male,23,0,0,7.8542,,S,No
835,Third,male,18,0,0,8.3,,S,No
836,First,female,39,1,1,83.1583,E49,C,Yes
837,Third,male,21,0,0,8.6625,,S,No
838,Third,male,,0,0,8.05,,S,No
839,Third,male,32,0,0,56.4958,,S,Yes
840,First,male,,0,0,29.7,C47,C,Yes
841,Third,male,20,0,0,7.925,,S,No
842,Second,male,16,0,0,10.5,,S,No
843,First,female,30,0,0,31,,C,Yes
844,Third,male,34.5,0,0,6.4375,,C,No
845,Third,male,17,0,0,8.6625,,S,No
846,Third,male,42,0,0,7.55,,S,No
847,Third,male,,8,2,69.55,,S,No
848,Third,male,35,0,0,7.8958,,C,No
849,Second,male,28,0,1,33,,S,No
850,First,female,,1,0,89.1042,C92,C,Yes
851,Third,male,4,4,2,31.275,,S,No
852,Third,male,74,0,0,7.775,,S,No
853,Third,female,9,1,1,15.2458,,C,No
854,First,female,16,0,1,39.4,D28,S,Yes
855,Second,female,44,1,0,26,,S,No
856,Third,female,18,0,1,9.35,,S,Yes
857,First,female,45,1,1,164.8667,,S,Yes
858,First,male,51,0,0,26.55,E17,S,Yes
859,Third,female,24,0,3,19.2583,,C,Yes
860,Third,male,,0,0,7.2292,,C,No
861,Third,male,41,2,0,14.1083,,S,No
862,Second,male,21,1,0,11.5,,S,No
863,First,female,48,0,0,25.9292,D17,S,Yes
864,Third,female,,8,2,69.55,,S,No
865,Second,male,24,0,0,13,,S,No
866,Second,female,42,0,0,13,,S,Yes
867,Second,female,27,1,0,13.8583,,C,Yes
868,First,male,31,0,0,50.4958,A24,S,No
869,Third,male,,0,0,9.5,,S,No
870,Third,male,4,1,1,11.1333,,S,Yes
871,Third,male,26,0,0,7.8958,,S,No
872,First,female,47,1,1,52.5542,D35,S,Yes
873,First,male,33,0,0,5,B51 B53 B55,S,No
874,Third,male,47,0,0,9,,S,No
875,Second,female,28,1,0,24,,C,Yes
876,Third,female,15,0,0,7.225,,C,Yes
877,Third,male,20,0,0,9.8458,,S,No
878,Third,male,19,0,0,7.8958,,S,No
879,Third,male,,0,0,7.8958,,S,No
880,First,female,56,0,1,83.1583,C50,C,Yes
881,Second,female,25,0,1,26,,S,Yes
882,Third,male,33,0,0,7.8958,,S,No
883,Third,female,22,0,0,10.5167,,S,No
884,Second,male,28,0,0,10.5,,S,No
885,Third,male,25,0,0,7.05,,S,No
886,Third,female,39,0,5,29.125,,Q,No
887,Second,male,27,0,0,13,,S,No
888,First,female,19,0,0,30,B42,S,Yes
889,Third,female,,1,2,23.45,,S,No
890,First,male,26,0,0,30,C148,C,Yes
891,Third,male,32,0,0,7.75,,Q,No
